"year","month","number_of_days","total_traffic","total_normalized_traffic","delta","delta_percentage"
2025,5,31,242164818.68931866,7811768.344816731,7811768.344816731,
2025,6,30,234641470.82363397,7821382.360787799,9614.015971067362,0.12307093025161785
2025,7,31,257859685.77365103,8318054.379795195,496672.01900739595,6.350182053462085
