agg_year,agg_month,total_dl_vol_gb_monthly,total_ul_vol_gb_monthly,total_traffic,dl_ul_ratio
2025,7,235187074.5,22672611.24,257859685.8,10.37317987
2025,5,220863318,21301500.66,242164818.7,10.36843937
2025,6,214189757.2,20451713.66,234641470.8,10.47294915
